Rank;CCA3;Country/Territory;Capital;Continent;2022 Population;2020 Population;2015 Population;2010 Population;2000 Population;1990 Population;1980 Population;1970 Population;Area (km²);Density (per km²);Growth Rate;World Population Percentage
134;MNG;Mongolia;Ulaanbaatar;Asia;3398366;3294335;2964749;2702520;2450979;2161433;1697780;1293880;1564110;21727;10151;4
169;MNE;Montenegro;Podgorica;Europe;627082;629048;633966;631044;633324;621442;589324;530268;13812;454012;9988;1
230;MSR;Montserrat;Brades;North America;4390;4500;5059;4938;5138;10805;11452;11402;102;430392;9939;0
40;MAR;Morocco;Rabat;Africa;37457971;36688772;34680458;32464865;28554415;24570814;19678444;15274351;446550;83883;10103;47
48;MOZ;Mozambique;Maputo;Africa;32969517;31178239;26843246;23073723;17768505;13303459;11413587;8411676;801590;411302;10278;41
26;MMR;Myanmar;Nay Pyi Taw;Asia;54179306;53423198;51483949;49390988;45538332;40099553;33465781;27284112;676578;800784;10071;68
145;NAM;Namibia;Windhoek;Africa;2567012;2489098;2282704;2099271;1819141;1369011;975994;754467;825615;31092;10146;3
225;NRU;Nauru;Yaren;Oceania;12668;12315;11185;10241;10377;9598;7635;6663;21;6032381;10125;0
49;NPL;Nepal;Kathmandu;Asia;30547580;29348627;27610325;27161567;24559500;19616530;15600442;12501285;147181;2075511;10171;38
71;NLD;Netherlands;Amsterdam;Europe;17564014;17434557;17041107;16617116;15899135;14944548;14130387;13037686;41850;4196897;10036;22
185;NCL;New Caledonia;Nouméa;Oceania;289950;286403;283032;261426;221537;177264;148599;110982;18575;156097;10075;0
123;NZL;New Zealand;Wellington;Oceania;5185288;5061133;4590590;4346338;3855266;3397389;3147168;2824061;270467;191716;10108;7
106;NIC;Nicaragua;Managua;North America;6948392;6755895;6298598;5855734;5123222;4227820;3303309;2444767;130373;532962;10143;9
54;NER;Niger;Niamey;Africa;26207977;24333639;20128124;16647543;11622665;8370647;6173177;4669708;1267000;206851;10378;33
6;NGA;Nigeria;Abuja;Africa;218541212;208327405;183995785;160952853;122851984;95214257;72951439;55569264;923768;2365759;10241;274
232;NIU;Niue;Alofi;Oceania;1934;1942;1847;1812;2074;2533;3637;5185;260;74385;9985;0
56;PRK;North Korea;Pyongyang;Asia;26069416;25867467;25258015;24686435;23367059;20799523;17973650;14996879;120538;2162755;10038;33
150;MKD;North Macedonia;Skopje;Europe;2093599;2111072;2107962;2093828;2037936;2044174;1907023;1656783;25713;814218;9954;3
210;NFK;Northern Mariana Islands;Saipan;Oceania;49551;49587;51514;54087;80338;48002;17613;10143;464;1067909;10014;0
120;NOR;Norway;Oslo;Europe;5434319;5379839;5190356;4889741;4491202;4241636;4085776;3875546;323802;167828;10058;7
127;OMN;Oman;Muscat;Asia;4576298;4543399;4191776;2881914;2344253;1804524;1017462;670693;309500;147861;10123;6
5;PAK;Pakistan;Islamabad;Asia;235824862;227196741;210969298;194454498;154369924;115414069;80624057;59290872;881912;2674018;10191;296
222;PLW;Palau;Ngerulmud;Oceania;18055;17972;17794;18540;19726;15293;12252;11366;459;393355;10017;0
122;PSE;Palestine;Ramallah;Asia;5250072;5019401;4484614;3992278;3139954;2124609;1453620;1118241;6220;844063;10227;7
128;PAN;Panama;Panama City;North America;4408581;4294396;3957099;3623617;3001731;2449968;1956987;1516188;75417;584561;10132;6
